listing_id,comments,sentiment,subjectivity
17475,"Excellent host, beautiful apartment, great location.  Highly recommend.",0.7025,0.8225
17475,"Luca is very personable, and the views are exactly as advertised.  For $88 a night, not a bad deal.",0.266666667,0.405555556
17475,"I am glad we found Luca's apt for our stay in Barcelona.  It gave us the convenient access all the tourist attractions while getting a flavor of the lives of the locals--watching saglada familia in the twilight from the terrace in the aroma of the local bakery was one of my favorite moments in Barcelona.  The apt is also very clean and furnished with good taste, centrally located but suprisingly quiet.  Luca, his friends and even the super in the building were all very helpful and accommodating.  I would like to thank them for making our time in Barcelona enjoyable.",0.3675,0.638333333
17475,"I should start by saying we really did not want to leave this apartment. The space is amazing, and the apartment had everything we needed. The two balconies were perfect for enjoying the evenings before going out, and watching sunset/sunrise over Sagrada Familia. Luca made sure everything was in perfect shape when we arrived, and was very responsive when we had some trouble with the internet. It was very rainy in Barcelona, which we did not anticipate, and Luca gave us perfect rainy day suggestions. The apartment is very clean and airy, and quite spacious. The location is perfect, and the bakery downstairs (La Boulangerie) is amazing. Overall, an excellent experience in a beautiful apartment with a great host! Thanks Luca!",0.56537037,0.674938272
17475,"Luca was a very gracious host and took efforts to make sure that our stay at his apartment went well and was comfortable. Though the apartment and some of its amenities may not be in tip top condition (which Luca will tell you), it is a good value because the location, the space and the views more than make up for it. I highly recommend Luca and his apartment.",0.422857143,0.58984127
17475,Fantastic place! Really enjoyed staying here and would definitely stay next time in Barcelona. Highly recommended.,0.232,0.528
17475,"Overall a very good host, good location, and nice place.<br/><br/>I had bad luck I guess -- the Internet company cut off Luca's modem just before I arrived and it was a problem for me. Hard to survive with no Internet.<br/><br/>Otherwise it would have been terrific -- he really has it set up well and it's a very nice building/area.",0.244259259,0.643148148
17475,The host canceled my reservation 15 days before arrival.,0,0
17475,Luca's flat is in a beautiful and in a charming neighborhood in Barcelona. The views are great and we had a wonderful stay. Luca met us and gave us helpful insight to the city. I would happily stay here again. Jack M.,0.6875,0.8125
17475,"Lots of space and light, great views. We had the best time!!!",0.733333333,0.583333333
17475,Great flat,0.3875,0.4375
17475,Great flat,0.3875,0.4375
17475,"Fab apartment, in a lovely neighbourhood in Barcelona. Near all vital facilities, and although not central all attractions are in walking distance. The roof terraces and view of Sagrada Familia, especially at night was priceless. Although Luca was unable to meet us the keys were easy to collect and Luca was very prompt in replying to any queries and gave some very useful tips of the local area. A recommended apartment and with a very helpful host! ",0.206111111,0.477777778
17475,"Summary: The views were stunning, and the apartment was very spacious, but we encountered problem after problem. This was not our first time staying with Airbnb, so we were ready for the apartment to be just that - an apartment, not a hotel. However, as it turned out for us, it would have been better to stay in a hotel. Luca ended up refunding us 40% which we think is fair. The details: There are none of the amenities of a hotel, not even towels that look like they're clean. I believe they were clean, but they were stained, which I found kind of gross. When you arrive, the apartment is all shut down and the bed is unmade; we found sheets hanging in the living room that we had to use to make the bed ourselves. There was a little toilet paper in the bathroom, but we ended up having to buy more for ourselves, as well as toothpaste, and other basic toiletries. The apartment isn't especially clean. I kept finding other people's hair in various places, especially on the couch, which also had some stains. The kitchen counter was stained, and the trash can cover was dirty and unpleasant to have to keep touching to put trash in. All of the above wouldn't really have been a problem, but then real issues started arising. We didn't have hot water to begin with, so Luca, being out of town, had his friend come over to try to help fix it (this friend is not a plumber). The solution his friend came up with was to turn on the radiators while we showered so the hot water would work. Not an ideal situation for August in Spain. Luca did not get us a plumber. Next the internet broke down. The Orange card Luca has for guests in the apartment ran out of charge, so there was no way for us to contact him by phone because he was out of the country. Again, we had to go through his friend, calling from a pay phone down on the street. Luca refilled the card promptly but because of a problem Orange had, we didn't have internet for most of our stay. We realize this wasn't his fault, but it made getting in touch with him about the other issues very difficult. Finally, midway through our stay, the elevator to the building broke, with us in it. We were stuck for a little while but got out. The main problem was that we had to walk up and down the 9 floors to Luca's apartment for the remainder of our stay. The building is old and not especially well kept, and the elevator service man did not come to fix it when he said he would. We ended our stay by dragging our suitcases down 9 flights of stairs. We fully acknowledge that we had bad luck and that not all of this was Luca's fault, but he did not do a...",0.088888889,0.529715762
17475,The host canceled my reservation 10 days before arrival.,0,0
17475,"I absolutely LOVED this apartment!!! I stayed with my mom for the Merce festival. The views are indeed a delight and the location is perfect. I would add that you can see Torre Agbar when it's lit up if you lean out the front window.<br/><br/>Also, I'd recommend bringing a laptop so you can plug in a USB device (actually pretty convenient as you'll have it everywhere) or an unlocked iPad 3G because that's how you get Internet for this. I only brought a smartphone so wasn't able to enjoy it.<br/><br/>Key pickup and drop off was smooth. I really do wish I could have met Luca. In any case, being able to stay at a place such as this only gives me the desire to come back again.<br/><br/>Thank you so much!!! ",0.356971154,0.611538462
17475,"great place, awesome view.  the comms also very good",0.903333333,0.843333333
17475,"The host was very helpful, the place is awesome and has great views…",0.666666667,0.683333333
17475,"We had a great stay, very well located flat with an awesome terrace:)",0.495,0.635
17475,"we would have loved to have stayed here, but unfortunately, the building facade was under construction and between the noise and the dust, it would have made for a not-great trip. luca and his team were incredibly responsive and helpful and i received a full refund.",0.3625,0.8125
17475,"The apartment is in a very good location and has a lovely terrace facing the Sagrada Familia. However, the building is currently undergoing complete renovation. This means that there is a lot of dust on all floors including the apartment. In addition, the renovation team works from 8am to 5pm and the noise is intense - there are days when the hammering seems to be inside the apartment. In a normal situation and with the renovated apartment, I believe it is a great stay, but in the current conditions it was stressful. Luca was very kind and sought solutions with us, he also tried to show the conditions of the apartment before our arrival. However the noise issue was way more than expected. Not sure if we would have stayed there if we knew how bad it was. Would recommend this place if there was no renovation going on.",0.222307692,0.66042735
17475,"Nous avons passé un excellent séjour chez Luca. L'appartement était conforme à la description et l'emplacement super. La terrasse est un gros plus, la vue sur la Sagrada Familia est imprenable ! <br/>L'immeuble étant en travaux en ce moment, nous étions parfois réveillées tôt par les ouvriers qui commençaient leur travail, mais l'hôte nous avait prévenu avant notre arrivée, ce n'était donc pas une surprise. Il y a eu quelques petits inconvénients dans l'appartement (Vaisselle pas très bien nettoyée, évacuation de la douche presque bouchée), nous avons fait part de ces commentaires à Luca qui a tout de suite été très reactif sur le sujet.<br/>Luca est un super hôte, très sympathique, disponible et flexible. Malgré notre retard de train conséquent, l'entrée dans l'appartement s'est faite sans soucis.<br/>Nous recommandons cet appartement à qui souhaite visiter Barcelone en profitant d'un appartement confortable et d'un extérieur agréable !",0.1875,0.833333333
17475,"The apartment is in a good location with the most fabulous rooftop terrace looking towards La Sagrada Familia. You can almost touch it. It's a twenty minute easy walk down to the city centre by taking the bustling Sant Joan with plenty of cafes and restaurants. (If visiting the Picasso museum, don't forget to book your free Thurs eve tickets online!) The Metro is two minutes away and there are a few multi ticket options at great value. Heading in any direction from the apartment will be endlessly fascinating. The apartment itself is lovely, although I have to be honest and say that the bathroom and kitchen could do with an upgrade. The compensatory factor is the simply spectacular terrace, which is breathtaking. There is currently major road works outside, and builders in the apartment block Monday to Friday, but you will be out and about, so it really is not a problem. ( P.S. The supermarket in the same block, directly behind the apartment, is cheapest for wine at 2 euros a bottle!)",0.324459877,0.602623457
17475,Πολύ ωραίο διαμέρισμα σε κεντρικό σημείο της Βαρκελώνης με εξαιρετική θεα.,0,0
17475,"El apartamento es increíble, la terraza es increíble. El apartamento cuenta con todo lo necesario para tu estancia. Luca y su equipo siempre fueron muy atentos y me apoyaron en todo lo que necesite.  Volvería sin pensarlo. Excelente zona, realmente puedes hacer todo caminando. Gracias por todas sus atenciones.",0,0
17475,Nous avons adoré notre séjour car l’appartement est vraiment bien situé  . Il y a vraiment une vue incroyable sur Barcelone  et la Sagrada Familia  quand on est dans  l’appartement et sur la terrasse .<br/>C’est magnifique comme endroit pour séjourner longtemps nous y avons été 11 jours et y serions restés encore . Il y’a des commodités et épiceries à proximité  . <br/>Les hôtes ont été très sympathiques et attentifs à nos besoins .,0,0
18674,"Great location. Clean, spacious flat. Would recommend to anyone.",0.380555556,0.525
18674,"Mi mejor recomendación para este departamento. Cuida todos los detalles, adicionalmente muy cómodo, limpio, funcional y situado perfectamente. ",0,0
18674,"Big apartment, well equipped.<br/>Very good service, excellent location.<br/>Recommended.",0.566666667,0.566666667
18674,"The Check in was fast and flexible. The price is fair, because the flat ist big enough for 8 people if you are flexible as well. We were the in a time where it wasn't so hot outside, so I have no idea how hot it can get inside. This was my second Airbnb stay so I can't compare it so good with other apartments but I would wish me, that the owner, offers the guests more toilet paper  etc. . Because if it is a short stay, you don't want to buy all the staff in big packages. <br/>All in all we are very happy with this decision ",0.206862745,0.402941176
18674,"Great location and enough space in the apartment for 7 people. Although the mattresses were a bit too soft and the house is quite noisy, its a solid choice for a big group of people for a weekend in barcelona.",0.18,0.36
18674,"Our experience here was mixed. <br/>The location of this flat is super close to La Sagrada Familia, and there are lots of cute restaurants and cafes nearby. <br/>The flat itself wad impersonal and not well represented by the photos. The folks who rent this spot have a bunch of other places in the city. So even though it was spacious, it lacked charm, and was heavily used without being heavily cleaned.<br/>There were extra pillows, but no extra pillow cases; the one spare blanket was covered in unwashed food stains (as was the furniture); and while the large bed was comfy, the small bed I slept in felt like laying on a box filled with metal springs. <br/>I have an Airbnb if my own, and work very hard to accurately represent my space. It was disappointing not to find that to be the case here.<br/>That said, check-in was easy, and when we had trouble with the heater, the response was quick.",0.060505952,0.502053571
